Category: All categories,,,,,,,,,,,
,,,,,,,,,,,
Week,six nations: (Worldwide),,,,,,,,,,
25/03/2012,4,,,,,,,,,,
01/04/2012,3,,,,,,,,,,
08/04/2012,2,,,,,,,,,,
15/04/2012,3,,,,,,,,,,
22/04/2012,2,,,,,,Day/slot,1,2,,
29/04/2012,2,,,,,,22/04/2012,game of thrones,how I met your mother,,
06/05/2012,3,,,,,,,"Expected V: 7 M
Nodes R: 9","Expected V: 7 M
Nodes R: 9",,
13/05/2012,2,,,,,,06/05/2012,Face off,Titanic,,
20/05/2012,2,,,,,,,"Expected V: 7 M
Nodes R: 9","Expected V: 7 M
Nodes R: 9",,
27/05/2012,3,,,,,Date,Day/Time,10,12,14,16
03/06/2012,3,,,,,,Monday,Lucky Man,Game of Thrones,Ninja Wariors,Godzila
10/06/2012,3,,,,,,Tuesday,The Black List,How I met your Mother,Arrow,road wards
17/06/2012,3,,,,,,Wednesday,Gone Girl,Wild things,A League of their own,andromeda
24/06/2012,3,,,,,,Thursday,face off,Lucky get rich,Police Ten 7,new tricks
01/07/2012,3,,,,,,Friday,God father,la la land,Customs UK,castle
08/07/2012,3,,,,,,Sat,God Zilla,Gone Girl,Arrow,Lucky Man
15/07/2012,2,,,,,,Sunday,Road Wars,Game of thrones,face off,titanic
22/07/2012,2,,,,,,,,,,
29/07/2012,2,,,,,,,,,,
05/08/2012,2,,,,,,,,,,
12/08/2012,2,,,,,,,,,,
19/08/2012,2,,,,,,,,,,
26/08/2012,2,,,,,,,,,,
02/09/2012,2,,,,,,,,,,
09/09/2012,3,,,,,,,,,,
16/09/2012,3,,,,,,,,,,
23/09/2012,3,,,,,,,,,,
30/09/2012,3,,,,,,,,,,
07/10/2012,3,,,,,,,,,,
14/10/2012,3,,,,,,,,,,
21/10/2012,4,,,,,,,,,,
28/10/2012,3,,,,,,,,,,
04/11/2012,4,,,,,,,,,,
11/11/2012,5,,,,,,,,,,
18/11/2012,4,,,,,,,,,,
25/11/2012,5,,,,,,,,,,
02/12/2012,6,,,,,,,,,,
09/12/2012,4,,,,,,,,,,
16/12/2012,4,,,,,,,,,,
23/12/2012,4,,,,,,,,,,
30/12/2012,8,,,,,,,,,,
06/01/2013,11,,,,,,,,,,
13/01/2013,12,,,,,,,,,,
20/01/2013,21,,,,,,,,,,
27/01/2013,75,,,,,,,,,,
03/02/2013,71,,,,,,,,,,
10/02/2013,46,,,,,,,,,,
17/02/2013,47,,,,,,,,,,
24/02/2013,40,,,,,,,,,,
03/03/2013,41,,,,,,,,,,
10/03/2013,78,,,,,,,,,,
17/03/2013,21,,,,,,,,,,
24/03/2013,5,,,,,,,,,,
31/03/2013,3,,,,,,,,,,
07/04/2013,3,,,,,,,,,,
14/04/2013,3,,,,,,,,,,
21/04/2013,2,,,,,,,,,,
28/04/2013,3,,,,,,,,,,
05/05/2013,2,,,,,,,,,,
12/05/2013,2,,,,,,,,,,
19/05/2013,2,,,,,,,,,,
26/05/2013,2,,,,,,,,,,
02/06/2013,2,,,,,,,,,,
09/06/2013,2,,,,,,,,,,
16/06/2013,2,,,,,,,,,,
23/06/2013,2,,,,,,,,,,
30/06/2013,2,,,,,,,,,,
07/07/2013,2,,,,,,,,,,
14/07/2013,2,,,,,,,,,,
21/07/2013,2,,,,,,,,,,
28/07/2013,2,,,,,,,,,,
04/08/2013,2,,,,,,,,,,
11/08/2013,2,,,,,,,,,,
18/08/2013,2,,,,,,,,,,
25/08/2013,2,,,,,,,,,,
01/09/2013,2,,,,,,,,,,
08/09/2013,3,,,,,,,,,,
15/09/2013,2,,,,,,,,,,
22/09/2013,3,,,,,,,,,,
29/09/2013,3,,,,,,,,,,
06/10/2013,3,,,,,,,,,,
13/10/2013,3,,,,,,,,,,
20/10/2013,3,,,,,,,,,,
27/10/2013,3,,,,,,,,,,
03/11/2013,4,,,,,,,,,,
10/11/2013,5,,,,,,,,,,
17/11/2013,5,,,,,,,,,,
24/11/2013,5,,,,,,,,,,
01/12/2013,4,,,,,,,,,,
08/12/2013,4,,,,,,,,,,
15/12/2013,4,,,,,,,,,,
22/12/2013,4,,,,,,,,,,
29/12/2013,7,,,,,,,,,,
05/01/2014,11,,,,,,,,,,
12/01/2014,14,,,,,,,,,,
19/01/2014,21,,,,,,,,,,
26/01/2014,74,,,,,,,,,,
02/02/2014,70,,,,,,,,,,
09/02/2014,35,,,,,,,,,,
16/02/2014,57,,,,,,,,,,
23/02/2014,34,,,,,,,,,,
02/03/2014,44,,,,,,,,,,
09/03/2014,94,,,,,,,,,,
16/03/2014,18,,,,,,,,,,
23/03/2014,3,,,,,,,,,,
30/03/2014,3,,,,,,,,,,
06/04/2014,2,,,,,,,,,,
13/04/2014,2,,,,,,,,,,
20/04/2014,2,,,,,,,,,,
27/04/2014,2,,,,,,,,,,
04/05/2014,2,,,,,,,,,,
11/05/2014,2,,,,,,,,,,
18/05/2014,2,,,,,,,,,,
25/05/2014,2,,,,,,,,,,
01/06/2014,2,,,,,,,,,,
08/06/2014,2,,,,,,,,,,
15/06/2014,2,,,,,,,,,,
22/06/2014,2,,,,,,,,,,
29/06/2014,2,,,,,,,,,,
06/07/2014,1,,,,,,,,,,
13/07/2014,2,,,,,,,,,,
20/07/2014,2,,,,,,,,,,
27/07/2014,2,,,,,,,,,,
03/08/2014,2,,,,,,,,,,
10/08/2014,2,,,,,,,,,,
17/08/2014,2,,,,,,,,,,
24/08/2014,2,,,,,,,,,,
31/08/2014,3,,,,,,,,,,
07/09/2014,2,,,,,,,,,,
14/09/2014,3,,,,,,,,,,
21/09/2014,2,,,,,,,,,,
28/09/2014,3,,,,,,,,,,
05/10/2014,3,,,,,,,,,,
12/10/2014,3,,,,,,,,,,
19/10/2014,3,,,,,,,,,,
26/10/2014,3,,,,,,,,,,
02/11/2014,4,,,,,,,,,,
09/11/2014,4,,,,,,,,,,
16/11/2014,5,,,,,,,,,,
23/11/2014,5,,,,,,,,,,
30/11/2014,5,,,,,,,,,,
07/12/2014,4,,,,,,,,,,
14/12/2014,4,,,,,,,,,,
21/12/2014,3,,,,,,,,,,
28/12/2014,5,,,,,,,,,,
04/01/2015,9,,,,,,,,,,
11/01/2015,11,,,,,,,,,,
18/01/2015,16,,,,,,,,,,
25/01/2015,23,,,,,,,,,,
01/02/2015,91,,,,,,,,,,
08/02/2015,65,,,,,,,,,,
15/02/2015,44,,,,,,,,,,
22/02/2015,49,,,,,,,,,,
01/03/2015,46,,,,,,,,,,
08/03/2015,55,,,,,,,,,,
15/03/2015,100,,,,,,,,,,
22/03/2015,24,,,,,,,,,,
29/03/2015,4,,,,,,,,,,
05/04/2015,2,,,,,,,,,,
12/04/2015,2,,,,,,,,,,
19/04/2015,2,,,,,,,,,,
26/04/2015,2,,,,,,,,,,
03/05/2015,2,,,,,,,,,,
10/05/2015,2,,,,,,,,,,
17/05/2015,2,,,,,,,,,,
24/05/2015,2,,,,,,,,,,
31/05/2015,2,,,,,,,,,,
07/06/2015,2,,,,,,,,,,
14/06/2015,2,,,,,,,,,,
21/06/2015,2,,,,,,,,,,
28/06/2015,2,,,,,,,,,,
05/07/2015,2,,,,,,,,,,
12/07/2015,2,,,,,,,,,,
19/07/2015,2,,,,,,,,,,
26/07/2015,2,,,,,,,,,,
02/08/2015,2,,,,,,,,,,
09/08/2015,2,,,,,,,,,,
16/08/2015,2,,,,,,,,,,
23/08/2015,3,,,,,,,,,,
30/08/2015,3,,,,,,,,,,
06/09/2015,2,,,,,,,,,,
13/09/2015,4,,,,,,,,,,
20/09/2015,5,,,,,,,,,,
27/09/2015,5,,,,,,,,,,
04/10/2015,6,,,,,,,,,,
11/10/2015,6,,,,,,,,,,
18/10/2015,7,,,,,,,,,,
25/10/2015,5,,,,,,,,,,
01/11/2015,5,,,,,,,,,,
08/11/2015,4,,,,,,,,,,
15/11/2015,3,,,,,,,,,,
22/11/2015,4,,,,,,,,,,
29/11/2015,3,,,,,,,,,,
06/12/2015,4,,,,,,,,,,
13/12/2015,3,,,,,,,,,,
20/12/2015,4,,,,,,,,,,
27/12/2015,6,,,,,,,,,,
03/01/2016,13,,,,,,,,,,
10/01/2016,14,,,,,,,,,,
17/01/2016,18,,,,,,,,,,
24/01/2016,25,,,,,,,,,,
31/01/2016,88,,,,,,,,,,
07/02/2016,85,,,,,,,,,,
14/02/2016,47,,,,,,,,,,
21/02/2016,75,,,,,,,,,,
28/02/2016,35,,,,,,,,,,
06/03/2016,59,,,,,,,,,,
13/03/2016,76,,,,,,,,,,
20/03/2016,15,,,,,,,,,,
27/03/2016,3,,,,,,,,,,
03/04/2016,2,,,,,,,,,,
10/04/2016,2,,,,,,,,,,
17/04/2016,2,,,,,,,,,,
24/04/2016,2,,,,,,,,,,
01/05/2016,2,,,,,,,,,,
08/05/2016,2,,,,,,,,,,
15/05/2016,2,,,,,,,,,,
22/05/2016,2,,,,,,,,,,
29/05/2016,3,,,,,,,,,,
05/06/2016,2,,,,,,,,,,
12/06/2016,2,,,,,,,,,,
19/06/2016,2,,,,,,,,,,
26/06/2016,3,,,,,,,,,,
03/07/2016,2,,,,,,,,,,
10/07/2016,2,,,,,,,,,,
17/07/2016,2,,,,,,,,,,
24/07/2016,2,,,,,,,,,,
31/07/2016,2,,,,,,,,,,
07/08/2016,2,,,,,,,,,,
14/08/2016,2,,,,,,,,,,
21/08/2016,2,,,,,,,,,,
28/08/2016,2,,,,,,,,,,
04/09/2016,3,,,,,,,,,,
11/09/2016,2,,,,,,,,,,
18/09/2016,2,,,,,,,,,,
25/09/2016,3,,,,,,,,,,
02/10/2016,3,,,,,,,,,,
09/10/2016,3,,,,,,,,,,
16/10/2016,3,,,,,,,,,,
23/10/2016,3,,,,,,,,,,
30/10/2016,3,,,,,,,,,,
06/11/2016,4,,,,,,,,,,
13/11/2016,5,,,,,,,,,,
20/11/2016,5,,,,,,,,,,
27/11/2016,7,,,,,,,,,,
04/12/2016,6,,,,,,,,,,
11/12/2016,4,,,,,,,,,,
18/12/2016,4,,,,,,,,,,
25/12/2016,5,,,,,,,,,,
01/01/2017,10,,,,,,,,,,
08/01/2017,12,,,,,,,,,,
15/01/2017,17,,,,,,,,,,
22/01/2017,25,,,,,,,,,,
29/01/2017,96,,,,,,,,,,
05/02/2017,94,,,,,,,,,,
12/02/2017,52,,,,,,,,,,
19/02/2017,63,,,,,,,,,,
26/02/2017,58,,,,,,,,,,
05/03/2017,75,,,,,,,,,,
12/03/2017,80,,,,,,,,,,
19/03/2017,33,,,,,,,,,,
